,prices,hour,day,week,month,weekend,rsi,roc
12307,64.3,19,1,21,4,0,34.08594101372276,26.14288996094648
12308,59.57,20,1,21,4,0,28.76269240591502,30.877233696913443
12309,58.87,21,1,21,4,0,27.986502076597247,22.702205882352942
12310,59.93,22,1,21,4,0,31.352785521996978,15.710267229254566
12311,57.0,23,1,21,4,0,27.14402661538827,17.486971627099013
12312,46.4,0,2,21,4,0,17.14969422675584,31.764705882352946
12313,29.93,1,2,21,4,0,10.16873190566072,53.45256609642301
12314,19.97,2,2,21,4,0,7.849896887756216,66.47641430250127
12315,10.01,3,2,21,4,0,6.163341736665643,82.99643281807373
12316,9.16,4,2,21,4,0,6.030650695203732,84.71550141832137
12317,20.32,5,2,21,4,0,29.83156577088613,64.35087719298245
12318,45.0,6,2,21,4,0,58.03713130888877,3.0172413793103416
12319,68.0,7,2,21,4,0,71.05067129002913,-127.19679251587037
12320,76.01,8,2,21,4,0,74.37212905967469,-280.62093139709566
12321,86.06,9,2,21,4,0,78.14710366726133,-759.7402597402597
12322,90.3,10,2,21,4,0,79.66364958356232,-885.8078602620088
12323,98.09,11,2,21,4,0,82.36227158415392,-382.72637795275597
12324,98.02,12,2,21,4,0,82.24458737465393,-117.82222222222221
12325,96.04,13,2,21,4,0,78.44026487198747,-41.23529411764707
12326,93.75,14,2,21,4,0,73.70833664293646,-23.33903433758715
12327,76.02,15,2,21,4,0,47.234654907729144,11.66627933999536
12328,70.07,16,2,21,4,0,41.2659626231916,22.403100775193803
12329,63.57,17,2,21,4,0,35.40162139314559,35.192170455703945
12330,70.04,18,2,21,4,0,44.77571939388197,28.545194858192197
12331,64.1,19,2,21,4,0,38.60403164372913,33.25697625989172
12332,64.0,20,2,21,4,0,38.496834997107015,31.733333333333334
12333,62.4,21,2,21,4,0,36.54826278736786,17.916337805840566
12334,66.06,22,2,21,4,0,44.28888196720642,5.722848579991425
12335,60.0,23,2,21,4,0,35.64828720127002,5.615856536101935
12336,56.13,0,3,21,4,0,31.011740405000893,19.860079954311825
12337,44.85,1,3,21,4,0,21.315077837054417,30.031201248049914
12338,32.03,2,3,21,4,0,14.942865880904932,49.953125
12339,21.99,3,3,21,4,0,11.665449018154192,64.75961538461537
12340,19.91,4,3,21,4,0,11.062261199598296,69.86073266727219
12341,34.83,5,3,21,4,0,38.45478858135498,41.95
12342,51.96,6,3,21,4,0,56.790419452692326,7.429182255478356
12343,77.12,7,3,21,4,0,71.66757394960294,-71.95094760312152
12344,83.56,8,3,21,4,0,74.37727632645316,-160.8804246019357
12345,101.81,9,3,21,4,0,80.66551136362861,-362.98317417007735
12346,108.04,10,3,21,4,0,82.4317094221098,-442.64188849824217
12347,119.08,11,3,21,4,0,85.28931277787947,-241.88917599770315
12348,106.68,12,3,21,4,0,69.95324079541393,-105.31177829099308
12349,98.29,13,3,21,4,0,61.04143382148201,-27.45072614107884
12350,103.01,14,3,21,4,0,64.12668630834366,-23.276687410244136
12351,88.4,15,3,21,4,0,49.55098392035614,13.171594145958155
12352,76.11,16,3,21,4,0,40.30362497542657,29.55386893743059
12353,75.02,17,3,21,4,0,39.51870745074189,37.000335908632856
12354,73.0,18,3,21,4,0,37.87821028345844,31.571053618297718
12355,71.16,19,3,21,4,0,36.23407470193686,27.601994099094522
12356,64.93,20,3,21,4,0,30.801863581491048,36.967284729637896
12357,65.0,21,3,21,4,0,30.94145801777114,26.470588235294123
12358,68.05,22,3,21,4,0,37.53053446550996,10.589935619498098
12359,58.04,23,3,21,4,0,27.279648613440187,22.633964276193012
12360,50.75,0,4,21,4,0,22.022815541271243,30.47945205479452
12361,42.94,1,4,21,4,0,17.65021207966967,39.65711073636874
12362,28.0,2,4,21,4,0,12.12429330690054,56.87663637763746
12363,23.0,3,4,21,4,0,10.770115803835523,64.61538461538461
12364,25.26,4,4,21,4,0,15.867004981784987,62.88023512123437
12365,37.32,5,4,21,4,0,38.399117454408156,35.69951757408683
12366,57.79,6,4,21,4,0,60.141537576729206,-13.871921182266009
12367,71.99,7,4,21,4,0,69.19305400489971,-67.65253842571029
12368,84.11,8,4,21,4,0,75.00638878566535,-200.39285714285714
12369,100.0,9,4,21,4,0,80.72787457508744,-334.7826086956522
12370,110.97,10,4,21,4,0,83.80011810598907,-339.31116389548686
12371,138.99,11,4,21,4,0,89.11749669201006,-272.427652733119
12372,103.0,12,4,21,4,0,59.178160955965716,-78.23152794601143
12373,91.29,13,4,21,4,0,52.315872790035414,-26.809279066537034
